feature,importance
shock_index_mean,0.12139828658833386
hr_mean,0.11556594809141994
sbp_mean,0.09559033545694408
sbp_min,0.08515169404229629
rr_mean,0.08445345090579975
hr_max,0.07980630498856775
map_mean,0.07707041623138218
temp_mean,0.0748813462009293
spo2_mean,0.06116550100440739
map_min,0.04663485774598617
rr_max,0.03864468094836205
temp_max,0.0379195982190867
spo2_min,0.022285731473238618
map_below65_hours,0.017383984355275633
vasopressor_hours,0.009557525223008281
bun_cr_ratio,0.00542198773921435
bun_max,0.004704427206709394
hemoglobin_min,0.004085353511289501
sodium_min,0.0033776103862933745
hemoglobin_mean,0.003232924522047241
norepi_dose_max,0.002374000765241161
vasopressor_flag,0.0019642850258425352
lactate_mean,0.0018181618516942607
bicarbonate_mean,0.0017544204472868972
lactate_max,0.0015668479254760286
potassium_mean,0.0006344083836147227
sodium_max,0.0005671253131663799
bicarbonate_min,0.000525745199802207
potassium_max,0.0004630402472838723
