feature,importance
urine_output_6h,0.1457331291464061
shock_index_mean,0.09994984051528764
sbp_mean,0.09445648448900158
urine_output_sum,0.0850389284714488
map_mean,0.07874336755936719
hr_mean,0.07564149204539432
sbp_min,0.055871407282812154
rr_mean,0.05160143783272967
spo2_mean,0.05103900839726049
map_min,0.0453642056881343
hr_max,0.04035878005255003
temp_mean,0.039972655985600174
rr_max,0.035847769897720476
map_below65_hours,0.021535561960741453
temp_max,0.019747460703967448
spo2_min,0.0121033913378795
bun_max,0.006854264927392492
bun_cr_ratio,0.005582256068884563
vasopressor_hours,0.005479561078170661
sodium_min,0.004677337528352049
potassium_mean,0.004259570499890589
hemoglobin_mean,0.004024192483407875
oliguria_flag,0.003770130757599717
hemoglobin_min,0.0031776345369279283
bicarbonate_mean,0.0012985245518332405
norepi_dose_max,0.001269400346465362
lactate_max,0.001173315795173886
sodium_max,0.001100580429264297
creatinine_min,0.0010242333825542873
lactate_mean,0.0010232022153226447
vasopressor_flag,0.0007906698474719098
creatinine_max,0.0005945705982945885
potassium_max,0.0005434581262265724
bicarbonate_min,0.00026558169245153543
creatinine_delta,8.659376801456356e-05
