feature,importance
urine_output_6h,0.18728782176869296
shock_index_mean,0.08924145950215027
urine_output_sum,0.0842064239834606
sbp_mean,0.0728836613501787
hr_mean,0.07175699879674707
map_mean,0.06679145868283752
spo2_mean,0.04988351886112207
rr_mean,0.04685328770158684
temp_mean,0.045645466289069375
sbp_min,0.04562130784016087
map_min,0.04411596852293514
hr_max,0.034342902212004624
rr_max,0.03346810676804699
temp_max,0.02710010093074971
spo2_min,0.017533563229337953
map_below65_hours,0.015695424551132587
bun_max,0.007979943853847503
hemoglobin_mean,0.00693450254346087
vasopressor_hours,0.006893124367980466
sodium_min,0.0065029695324386174
bun_cr_ratio,0.006157539429659681
oliguria_flag,0.004449571212121457
bicarbonate_mean,0.0037128232088301277
hemoglobin_min,0.0033900359177227507
potassium_mean,0.003240675833039118
lactate_mean,0.002571375523869474
potassium_max,0.002340668661489198
lactate_max,0.0020734766667560856
bicarbonate_min,0.002072836196751937
sodium_max,0.0020454321439240014
creatinine_max,0.0020348078782501475
norepi_dose_max,0.0018094765934912904
creatinine_min,0.001697111002414885
vasopressor_flag,0.0009352180203836948
creatinine_delta,0.0007309404233553538
